id,code,country_id,country_code,state_id,state_code,city_id,locality_name,type,latitude,longitude,source,wikiDataId
1,AD100,6,AD,489,02,,Canillo,full,,,manual,
2,AD200,6,AD,487,03,,Encamp,full,,,manual,
3,AD300,6,AD,491,05,,Ordino,full,,,manual,
4,AD400,6,AD,493,04,,"La Massana",full,,,manual,
5,AD500,6,AD,488,07,,"Andorra la Vella",full,,,manual,
6,AD600,6,AD,490,06,,"Sant Julia de Loria",full,,,manual,
7,AD700,6,AD,492,08,,Escaldes-Engordany,full,,,manual,
8,96799,5,AS,,,,"American Samoa",full,,,manual,
9,97133,189,BL,,,,Saint-Barthelemy,full,,,manual,
10,96941,143,FM,2581,PNI,,Pohnpei,full,,,manual,
11,96942,143,FM,2580,TRK,,Chuuk,full,,,manual,
12,96943,143,FM,2582,YAP,,Yap,full,,,manual,
13,96944,143,FM,2583,KSA,,Kosrae,full,,,manual,
14,97300,76,GF,,,,Cayenne,full,,,manual,
15,97310,76,GF,,,,Kourou,full,,,manual,
16,97320,76,GF,,,,Saint-Laurent-du-Maroni,full,,,manual,
17,"GX11 1AA",84,GI,,,,Gibraltar,full,,,manual,
18,3900,86,GL,5383,SM,,Nuuk,full,,,manual,
19,3911,86,GL,5382,QE,,Sisimiut,full,,,manual,
20,3912,86,GL,5382,QE,,Maniitsoq,full,,,manual,
21,3920,86,GL,5380,KU,,Qaqortoq,full,,,manual,
22,3922,86,GL,5380,KU,,Nanortalik,full,,,manual,
23,3940,86,GL,5383,SM,,Paamiut,full,,,manual,
24,3950,86,GL,5381,QT,,Aasiaat,full,,,manual,
25,3952,86,GL,5379,AV,,Ilulissat,full,,,manual,
26,3971,86,GL,5379,AV,,Qaanaaq,full,,,manual,
27,3980,86,GL,5383,SM,,Ittoqqortoormiit,full,,,manual,
28,9485,125,LI,451,02,,Nendeln,full,,,manual,
29,9486,125,LI,455,04,,Schaanwald,full,,,manual,
30,9487,125,LI,457,03,,Bendern,full,,,manual,
31,9488,125,LI,449,08,,Schellenberg,full,,,manual,
32,9490,125,LI,452,11,,Vaduz,full,,,manual,
33,9491,125,LI,453,06,,Ruggell,full,,,manual,
34,9492,125,LI,451,02,,Eschen,full,,,manual,
35,9493,125,LI,455,04,,Mauren,full,,,manual,
36,9494,125,LI,450,07,,Schaan,full,,,manual,
37,9495,125,LI,459,09,,Triesen,full,,,manual,
38,9496,125,LI,458,01,,Balzers,full,,,manual,
39,9497,125,LI,456,10,,Triesenberg,full,,,manual,
40,9498,125,LI,454,05,,Planken,full,,,manual,
41,98000,145,MC,,,,Monaco,full,,,manual,
42,97150,190,MF,,,,Saint-Martin,full,,,manual,
43,96960,137,MH,5656,MAJ,,Majuro,full,,,manual,
44,96970,137,MH,5652,KWA,,Ebeye,full,,,manual,
45,96950,164,MP,,,,Saipan,full,,,manual,
46,96951,164,MP,,,,Rota,full,,,manual,
47,96952,164,MP,,,,Tinian,full,,,manual,
48,98800,157,NC,5225,01,,Noumea,full,,,manual,
50,98820,157,NC,5227,03,,We,full,,,manual,
49,98860,157,NC,5226,02,,Kone,full,,,manual,
51,96940,168,PW,,,,Palau,full,,,manual,
52,47890,192,SM,58,07,,"San Marino",full,,,manual,
53,47891,192,SM,65,09,,Serravalle,full,,,manual,
54,47892,192,SM,59,01,,Acquaviva,full,,,manual,
55,47893,192,SM,61,06,,"Borgo Maggiore",full,,,manual,
56,47894,192,SM,60,02,,Chiesanuova,full,,,manual,
57,47895,192,SM,64,03,,Domagnano,full,,,manual,
58,47896,192,SM,62,04,,Faetano,full,,,manual,
59,47897,192,SM,66,05,,Fiorentino,full,,,manual,
60,47898,192,SM,63,08,,Montegiardino,full,,,manual,
61,00120,238,VA,,,,"Citta del Vaticano",full,,,manual,
62,98600,243,WF,5707,UV,,Mata-Utu,full,,,manual,
63,97600,141,YT,5404,03,,Mamoudzou,full,,,manual,
